"Rank","Country","Population","pop2020","GrowthRate","area","Density"
1,"China","1444216107","14393237760","10034","9706961","1477068"
2,"India","1393409038","13800043850","10097","3287590","4156290"
3,"United States of America","332915073","3310026510","10058","9372610","351092"
4,"Indonesia","276361783","273523615","10104","1904569","1420928"
5,"Pakistan","225199937","2208923400","10195","881912","2455634"
6,"Brazil","213993437","2125594170","10067","8515767","247834"
7,"Nigeria","211400708","2061395890","10255","923768","2175477"
8,"Bangladesh","166303498","1646893830","10098","147570","11048734"
9,"Russia","145912025","1459344620","09998","17098242","85314"
10,"Mexico","130262216","1289327530","10103","1964375","649446"
11,"Japan","126050804","1264764610","09966","377930","3356714"
12,"Ethiopia","117876227","1149635880","10253","1104300","1014930"
13,"Philippines","111046913","1095810780","10134","342353","3158045"
14,"Egypt","104258327","1023344040","10188","1002450","1001427"
15,"Vietnam","98168833","973385790","10085","331212","2912398"
16,"Dem. Rep. Congo","92377993","895614030","10314","2344858","370131"
18,"Turkey","85042738","843390670","10083","783562","1064748"
19,"Iran","85028759","839929490","10123","1648195","503059"
17,"Germany","83900473","837839420","10014","357114","2338666"
20,"Thailand","69950850","697999780","10022","513120","1356906"
21,"United Kingdom","68207116","678860110","10047","242900","2780164"
22,"France","65426179","652735110","10023","551695","1180539"
25,"Tanzania","61498437","597342180","10295","945087","613758"
23,"Italy","60367477","604618260","09984","301336","2009387"
24,"South Africa","60041994","593086900","10124","1221037","479578"
27,"Kenya","54985698","537712960","10226","580367","905875"
26,"Myanmar","54806012","544098000","10073","676578","798805"
28,"South Korea","51305186","512691850","10007","100210","5111796"
29,"Colombia","51265844","508828910","10075","1141748","440898"
32,"Uganda","47123531","457410070","10302","241550","1832730"
30,"Spain","46745216","467547780","09998","505992","923666"
31,"Argentina","45605826","451957740","10091","2780400","161058"
35,"Sudan","44909353","438492600","10242","1886068","226997"
34,"Algeria","44616624","438510440","10175","2381741","180763"
33,"Ukraine","43466819","437337620","09939","603500","728975"
36,"Iraq","41179350","402224930","10238","438317","896835"
37,"Afghanistan","39835428","389283460","10233","652230","583257"
39,"Canada","38067903","377421540","10086","9984670","37468"
38,"Poland","37797005","378466110","09987","312679","1211715"
40,"Morocco","37344795","369105600","10118","446550","816745"
41,"Saudi Arabia","35340683","348138710","10151","2149690","159411"
42,"Uzbekistan","33935763","334692030","10139","447400","737186"
45,"Angola","33933610","328662720","10325","1246700","255276"
43,"Peru","33359418","329718540","10118","1285216","252957"
44,"Malaysia","32776194","323659990","10127","330803","965825"
47,"Mozambique","32163047","312554350","10290","801590","378823"
46,"Ghana","31732129","310729400","10212","238533","1275205"
48,"Yemen","30490640","298259640","10223","527968","552343"
49,"Nepal","29674920","291368080","10185","147181","1943777"
50,"Venezuela","28704954","284359400","10095","916445","311157"
51,"Madagascar","28427328","276910180","10266","587041","459411"
52,"Cameroon","27224265","265458630","10256","475442","544259"
53,"Côte d'Ivoire","27053629","263782740","10256","322463","797504"
54,"North Korea","25887041","257788160","10042","120538","2129300"
55,"Australia","25788215","254998840","10113","7692024","32765"
57,"Niger","25130817","242066440","10382","1267000","183984"
56,"Taiwan","23855010","238167750","10016","36193","6568639"
58,"Sri Lanka","21497310","214132490","10039","65610","3250074"
59,"Burkina Faso","21497096","209032730","10284","272967","744463"
60,"Mali","20855735","202508330","10299","1240192","158508"
63,"Malawi","19647684","191299520","10271","118484","1572258"
62,"Chile","19212361","191162010","10050","756102","250655"
61,"Romania","19127774","192376910","09943","238391","812302"
64,"Kazakhstan","18994962","187767070","10116","2724900","68081"
65,"Zambia","18920651","183839550","10292","752612","237321"
69,"Syria","18275702","175006580","10443","185180","921813"
66,"Guatemala","18249860","179155680","10187","108889","1614623"
67,"Ecuador","17888475","176430540","10139","276841","627568"
71,"Senegal","17196301","167439270","10270","196722","828396"
68,"Netherlands","17173099","171348720","10022","41850","4085336"
70,"Cambodia","16946438","167189650","10136","181035","910683"
72,"Chad","16914985","164258640","10298","1284000","124197"
73,"Somalia","16359504","158932220","10293","637657","242182"
74,"Zimbabwe","15092171","148629240","10154","390757","374797"
75,"Guinea","13497244","131327950","10278","245857","519458"
76,"Rwanda","13276513","129522180","10250","26338","4794195"
77,"Benin","12451040","121232000","10270","112622","1047855"
80,"Burundi","12255433","118907840","10307","27834","4142624"
78,"Tunisia","11935766","118186190","10099","163610","714792"
81,"Bolivia","11832940","116730210","10137","1098581","104800"
79,"Belgium","11632326","115896230","10037","30528","3779916"
83,"Haiti","11541685","114025280","10122","27750","4058766"
84,"S. Sudan","11381378","111937250","10168","619745","178495"
82,"Cuba","11317505","113266160","09992","109884","1031404"
85,"Dominican Republic","10953703","108479100","10098","48671","2206439"
86,"Czechia","10724555","107089810","10015","78865","1355381"
87,"Greece","10370744","104230540","09950","131990","793504"
89,"Jordan","10269021","102031340","10065","89342","1130677"
90,"Azerbaijan","10223342","101391770","10083","86600","1160245"
88,"Portugal","10167925","101967090","09972","92090","1110456"
91,"Sweden","10160169","100992650","10060","450295","222885"
93,"Honduras","10062991","99046070","10160","112492","866383"
92,"United Arab Emirates","9991089","98904020","10102","83600","1168724"
96,"Tajikistan","9749627","95376450","10222","143100","651364"
94,"Hungary","9634164","96603510","09973","93028","1041050"
95,"Belarus","9442862","94493230","09993","207600","455318"
98,"Papua New Guinea","9119010","89470240","10192","462840","189614"
97,"Austria","9043070","90063980","10041","83871","1067723"
101,"Israel","8789774","86555350","10155","20770","4101770"
100,"Switzerland","8715494","86546220","10070","41284","2081040"
99,"Serbia","8697550","87373710","09954","88361","992772"
102,"Togo","8478250","82787240","10241","56785","1423328"
103,"Sierra Leone","8141343","79769830","10206","71740","1089102"
104,"Hong Kong","7552810","74969810","10074","1104","67356467"
105,"Laos","7379358","72755600","10143","236800","302764"
106,"Paraguay","7219638","71325380","10122","406752","173192"
109,"Libya","6958532","68712920","10127","1759540","38518"
107,"Bulgaria","6896663","69484450","09925","110879","631330"
108,"Lebanon","6769146","68254450","09918","10452","6559236"
110,"Nicaragua","6702385","66245540","10117","130373","502060"
112,"Kyrgyzstan","6628356","65241950","10160","199951","320871"
111,"El Salvador","6518499","64862050","10050","21041","3067132"
113,"Turkmenistan","6117924","60312000","10144","488100","121739"
114,"Singapore","5896686","58503420","10079","710","81751225"
115,"Denmark","5813298","57922020","10036","43094","1339369"
118,"Congo","5657013","55180870","10252","342000","157325"
116,"Finland","5548360","55407200","10014","338424","163468"
119,"Norway","5465630","54212410","10082","323802","166116"
117,"Slovakia","5460721","54596420","10002","49037","1112836"
122,"Oman","5223375","51066260","10229","309500","160743"
121,"Palestine","5222748","51014140","10238","6220","8008714"
123,"Liberia","5180203","50576810","10242","111369","443335"
120,"Costa Rica","5139052","50941180","10088","51100","987781"
124,"Ireland","4982907","49377860","10091","70273","694790"
126,"Central African Rep.","4919981","48297670","10187","622984","76169"
125,"New Zealand","4860643","48222330","10080","270467","176845"
127,"Mauritania","4775119","46496580","10270","1030700","43909"
128,"Panama","4381579","43147670","10155","75417","563061"
129,"Kuwait","4328550","42705710","10136","17818","2361142"
130,"Croatia","4081651","41052670","09942","56594","729813"
131,"Moldova","4024019","40339630","09975","33846","1194606"
132,"Georgia","3979765","39891670","09976","69700","573424"
133,"Eritrea","3601467","35464210","10155","117600","297374"
134,"Uruguay","3485151","34737300","10033","181034","191220"
136,"Mongolia","3329289","32782900","10156","1564110","20620"
135,"Bosnia and Herz.","3263466","32808190","09947","51209","644613"
138,"Jamaica","2973463","29611670","10042","10991","2682448"
137,"Armenia","2968127","29632430","10016","29743","994429"
141,"Qatar","2930528","28810530","10172","11586","2444387"
140,"Albania","2872933","28777970","09983","28748","1002128"
139,"Puerto Rico","2828255","28608530","09886","8870","3307112"
142,"Lithuania","2689862","27222890","09881","65300","422608"
143,"Namibia","2587344","25409050","10183","825615","30214"
144,"Gambia","2486945","24166680","10291","10689","2196376"
145,"Botswana","2397241","23516270","10194","582000","39582"
146,"Gabon","2278825","22257340","10239","267668","81167"
147,"Lesotho","2159079","21422490","10079","30355","700138"
148,"Macedonia","2082658","20833740","09997","25713","810275"
149,"Slovenia","2078724","20789380","09999","20273","1025331"
150,"Guinea-Bissau","2015494","19680010","10241","36125","531743"
151,"Latvia","1866942","18861980","09898","64559","295349"
152,"Bahrain","1748296","17015750","10275","765","21453229"
154,"Eq. Guinea","1449896","14029850","10334","28051","483400"
153,"Trinidad and Tobago","1403375","13994880","10028","5130","2719246"
156,"Timor-Leste","1343873","13184450","10193","14874","869382"
155,"Estonia","1325185","13265350","09990","45227","293110"
157,"Mauritius","1273433","12717680","10013","2040","6223863"
158,"Cyprus","1215584","12073590","10068","9251","1295617"
159,"Eswatini","1172362","11601640","10105","17364","661213"
160,"Djibouti","1002187","988","10144","23200","419638"
161,"Fiji","902906","8964450","10072","18272","487058"
162,"Reunion","901686","8953120","10071","2511","3540131"
163,"Comoros","888451","8696010","10217","1862","4569742"
164,"Guyana","790326","7865520","10048","214969","36413"
165,"Bhutan","779898","7716080","10107","38394","198753"
166,"Solomon Islands","703996","6868840","10249","28896","231805"
167,"Macau","658394","6493350","10140","30","213481667"
169,"Luxembourg","634814","6259780","10141","2586","2381009"
168,"Montenegro","628053","6280660","10000","13812","454668"
170,"W. Sahara","611875","5973390","10243","266000","21897"
171,"Suriname","591800","5866320","10088","163820","35488"
172,"Cape Verde","561898","5559870","10106","4033","1363588"
173,"Maldives","543617","5405440","10057","300","17698433"
174,"Malta","442784","4415430","10028","316","13935823"
175,"Brunei","441532","4374790","10093","5765","751578"
177,"Belize","404914","3976280","10183","22966","169970"
176,"Guadeloupe","400020","4001240","09997","1628","2457346"
178,"Bahamas","396913","3932440","10093","13943","279339"
179,"Martinique","374745","3752650","09986","1128","3329379"
180,"Iceland","343353","3412430","10062","103000","32916"
181,"Vanuatu","314464","3071450","10238","12189","246027"
182,"French Guiana","306448","2986820","10260","83534","34816"
184,"New Caledonia","288218","2854980","10095","18575","152221"
183,"Barbados","287711","2873750","10012","430","6675000"
185,"French Polynesia","282530","2809080","10058","4167","670235"
186,"Mayotte","2795150","272815","10246","374","7116310"
187,"Sao Tome and Principe","223368","2191590","10192","964","2230871"
188,"Samoa","2001490","198414","10087","2842","693515"
189,"Saint Lucia","184400","1836270","10042","616","2967370"
190,"Guam","1701790","168775","10083","549","3047250"
191,"Curacao","164798","1640930","10043","444","3680721"
192,"Kiribati","121392","1194490","10163","811","1450136"
193,"Micronesia","116254","1150230","10107","702","1621296"
194,"Grenada","113021","1125230","10044","344","3255901"
195,"Saint Vincent and the Grenadines","111263","1109400","10029","389","2842905"
196,"Aruba","107204","1067660","10041","180","5906333"
198,"Tonga","106760","1056950","10101","747","1398849"
197,"United States Virgin Islands","104226","1044250","09981","347","3013775"
199,"Seychelles","98908","983470","10057","452","2162367"
200,"Antigua and Barbuda","98731","979290","10082","442","2197240"
